标题,链接,时间（年份）,简介,种类
哈工大SCIR取得国家电网调控AI创新大赛赛道2（Text2SQL）冠军,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650803868&idx=1&sn=d8d200a7fbe71d1b1024a8ce34f86cc2&chksm=8cb89b77bbcf1261a63b4b66afc9fc61c338fe05fe6b01fed97cfe5ba165ad87a917f58e732c&token=728330758&lang=zh_CN#rd,2021/11/13,近日，来自哈工大社会计算与信息检索研究中心（HIT-SCIR）的“赛尔小队”以68.75的成绩夺得国家电网调控人工智能创新大赛-电网运行信息智能检索赛道（Text2SQL）冠军。团队成员包括窦隆绪、潘名扬、王丁子睿，指导教师为车万翔教授。,评测
哈工大SCIR博士生覃立波获2021年“微软学者”称号,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650803760&idx=1&sn=d3f549fa317304aae8e5a22a650fc6d9&chksm=8cb89bdbbbcf12cd13761b789aa04499db3caae2933971844eb276d35ecf17a92820e2ad422e&token=728330758&lang=zh_CN#rd,2021/10/21,近日，在刚刚结束的2021年“微软学者”奖学金评选中，哈工大社会计算与信息检索研究中心(SCIR)博士生覃立波成功入选。2021年微软学者奖学金有来自全亚洲50所顶尖研究型大学或机构的157名杰出博士生参与申请，最终入选11人。,学生获奖
赛尔原创 | 首个任务型对话系统中生成模块资源库Awesome-TOD-NLG-Survey开源！,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650803277&idx=1&sn=808e85eb2905e50a5b347974ee591ce3&chksm=8cb899a6bbcf10b03a2cae94d21f53ec818639c8542381b5c8bba0647f9f0a7ac5f55f477e29&token=728330758&lang=zh_CN#rd,2021/09/07,"原创作者：覃立波、黎州扬、娄杰铭、禹棋赢、车万翔
代码链接：https://github.com/yizhen20133868/Awesome-TOD-NLG-Survey
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创@ACL 2021 | 开放域对话结构发现,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650803003&idx=1&sn=f648bb5d78be4ae2edcd8dfd80a53b14&chksm=8cb89ed0bbcf17c654d164d10d44ae6637bb2a23c887940f8a7e55b245f0c8c44551bfe809f1&token=728330758&lang=zh_CN#rd,2021/08/06,"论文名称：Discovering Dialog Structure Graph for Coherent Dialog Generation
论文作者：徐俊，雷泽阳，王海峰，牛正雨，吴华，车万翔
原创作者：徐俊
论文链接：https://aclanthology.org/2021.acl-long.136/
转载须标注出处：哈工大SCIR",论文推荐
CCL2021学生研讨会！如何诞生Idea！如何跟审稿人Rebuttal！如何写自己的第一篇顶会文章等抢先看！,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650802956&idx=1&sn=405f0093f005beb0de163cf22ed50907&chksm=8cb89ee7bbcf17f1f5a4210fac28c666e50e6c7e08e9058345c41491bc27df6b0b48d02467a8&token=728330758&lang=zh_CN#rd,2021/07/31,CCL2021学生研讨会将于8月13日精彩呈现。我中心博士生覃立波担任本次研讨会的联合主席，并且带来题为浅谈科研中第一个Idea的诞生历程的报告,学术交流
哈工大SCIR《自然语言处理：基于预训练模型的方法》一书出版,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650802766&idx=1&sn=765101455ebb2e49a1e3b66494c50075&chksm=8cb89fa5bbcf16b30746b7262909d9a9bfe4d5b9a4d4712d28e2941689e960c43a9dc8be91a4&token=728330758&lang=zh_CN#rd,2021/07/19,"近些年来，以GPT、BERT为代表的预训练模型在自然语言处理领域掀起了一股浪潮，打开了“预训练+精调”的自然语言处理新范式的大门。由电子工业出版社博文视点出版的《自然语言处理：基于预训练模型的方法》一书，通过基础知识、预训练词向量以及预训练模型三大部分九个章节，详细介绍了预训练模型发展的来龙去脉，并通过示例代码进一步加深了读者对相关技术的理解与实践方式。

本书由哈工大社会计算与信息检索研究中心（SCIR）多位学者编写，由哈工大社会计算与信息检索研究中心（SCIR）副主任车万翔教授、麻省理工大学（MIT）计算机科学与人工智能实验室博士后研究员郭江博士、科大讯飞北京研究院副院长崔一鸣编著，由哈工大计算学部主任刘挺教授主审。本书既适合具有一定机器学习基础的高等院校学生、研究机构的研究者，以及希望深入研究自然语言处理算法的计算机工程师阅读，也适合对人工智能、深度学习和自然语言处理感兴趣的学生和希望进入人工智能应用领域的研究者参考。",书籍出版
赛尔原创@ACL Findings | 基于高质量对抗样本的依存分析器鲁棒性探究,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650802667&idx=1&sn=195715aeb94394172296bb35ccb8b2d4&chksm=8cb89c00bbcf1516295d7ed3a9cc693f9c5f1dd2fdce43a6b4ddac4089bed757050f1e6d8454&token=728330758&lang=zh_CN#rd,2021/07/09,"论文名称：A Closer Look into the Robustness of Neural Dependency Parsers Using Better Adversarial Examples
论文作者：王宇轩，车万翔，Ivan Titov，Shay B. Cohen，雷志林，刘挺
原创作者：王宇轩，车万翔
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创@ACL 2021 | 基于一致性正则的跨语言微调方法,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650802524&idx=1&sn=42fad4a54ec8ddbbdf1bb9c53ea56ca5&chksm=8cb89cb7bbcf15a1647313b3a5cb431f7b9eadddc650a9d84a5805a309942e7dfad96433c994&token=728330758&lang=zh_CN#rd,2021/06/22,"论文名称：Consistency Regularization for Cross-Lingual Fine-Tuning
论文作者：郑博，董力，黄绍晗，王文辉，迟泽闻，Saksham Singhal，车万翔，刘挺，宋夏，韦福如
原创作者：郑博
论文链接：https://arxiv.org/abs/2106.08226
代码链接：https://github.com/bozheng-hit/xTune
转载须标注出处：哈工大SCIR",论文推荐
YEF2021演讲实录｜哈尔滨工业大学车万翔：自然语言处理新范式,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650801625&idx=1&sn=4be8105a445c3eda34ab1c62d6585071&chksm=8cb89032bbcf1924ed81c7220839ff91fa58de271f21359382e097884e7d5ba5bca1d638175f&token=728330758&lang=zh_CN#rd,2021/05/14,"5月13日-15日举办的CCF青年精英大会(YEF2021)，特别组织思想秀，邀请各界贤达与业界青年共同探讨方略大事。作为CCF青年精英大会(YEF)最重要核心的环节之一，“思想秀”邀请海内外在学术、产业、公益等方面的知名学者和企业家作为青年导师向参会者对话演讲，汇聚学术和产业前瞻思想，判研未来发展之路，畅谈社会责任理想，分享历程心得。

哈尔滨工业大学社会计算与信息检索研究中心车万翔教授受邀在中国计算机学会青年精英大会（CCF YEF）2021的“思想秀”环节，以《自然语言处理新范式》为题介绍了自然语言处理的昨天和今天，并展望了明天！本文整理了报告的主要内容。",学术交流
哈工大SCIR 14篇长文被ACL 2021主会/Findings和IJCAI 2021录用,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650801297&idx=1&sn=31b20506f74ab4f4154d65a219ca05e5&chksm=8cb8917abbcf186ca615a5249b768da5d4d7cb682db33b77e22d08a7053c9c3dcfe26a36edaf&token=728330758&lang=zh_CN#rd,2021/05/07,ACL-IJCNLP 2021 将于2021年8月1-6日在泰国曼谷举行。ACL年会是计算语言学和自然语言处理领域最重要的顶级国际会议，CCF A类会议，由计算语言学协会主办，每年举办一次。其接收的论文覆盖了对话交互系统、语义分析、摘要生成、信息抽取、问答系统、文本挖掘、机器翻译、语篇语用学、情感分析和意见挖掘、社会计算等自然语言处理领域众多研究方向。本届ACL 2021引入了新在线附属出版物“Findings of ACL”。,论文发表
赛尔原创 | N-LTP：基于预训练模型的中文自然语言处理平台,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650801067&idx=1&sn=2c21d7d8ce0e1ac17a4f209d2ed76dc6&chksm=8cb89640bbcf1f564af5f762164a52f0d46d33a0d307ca4c306518873c7490e8ab922a37fd21&token=728330758&lang=zh_CN#rd,2021/04/30,"论文名称：N-LTP: A Open-source Neural Chinese Language Technology Platform with Pretrained Models
论文作者：车万翔，冯云龙，覃立波，刘挺
原创作者：冯云龙
论文链接：https://arxiv.org/abs/2009.11616
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创 | 车万翔教授团队最新综述：对话系统中口语语言理解研究的新进展与新领域,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800836&idx=1&sn=bdf6a8aee814f6bbcbe8fdf4d86f7b82&chksm=8cb8972fbbcf1e391ddf77409be213d5510daf4a707f9f65580958aa4dd31c0d8c1066c1f21a&token=728330758&lang=zh_CN#rd,2021/04/11,"论文名称：A Survey on Spoken Language Understanding: Recent Advances and New Frontiers
论文作者：覃立波，谢天宝，车万翔，刘挺
原创作者：谢天宝，覃立波
论文链接：https://arxiv.org/abs/2103.03095
仓库链接：https://github.com/yizhen20133868/Awesome-SLU-Survey
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创@ICASSP 2021 | 首次探索中文词信息增强中文口语语言理解!,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800667&idx=1&sn=583faa3fdc6fbacf1348112615a4db48&chksm=8cb897f0bbcf1ee6fe7dea18d095c59a1df1ab92803b5df5b6550513d77efca1b47bdeee5363&token=728330758&lang=zh_CN#rd,2021/03/26,"论文名称：Injecting Word Information With Multi-Level Word Adapter for Chinese Spoken Language Understanding
论文作者：滕德川、覃立波、车万翔、赵森栋、刘挺
原创作者：滕德川
论文链接：https://arxiv.org/abs/2010.03903
代码链接：https://github.com/AaronTengDeChuan/MLWA-Chinese-SLU
转载须标注出处：哈工大SCIR",论文推荐
赛尔笔记 | 新分类！全总结！最新Awesome-SLU-Survey资源库开源！,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800571&idx=1&sn=b2e287902fcc73f599b28cf741f6293c&chksm=8cb89450bbcf1d46818b0684c3f1a4d7c83588fb43868c46b82b6ad38bcb3c99c9a588f9a930&token=728330758&lang=zh_CN#rd,2021/03/09,"作者：哈工大SCIR 覃立波、谢天宝等
指导老师：哈工大SCIR 车万翔教授",论文推荐
赛尔原创@AAAI 2021 | 纠结于联合学习中的建模方法？快来看看图网络显式建模!,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800405&idx=1&sn=b2d34dffd7cf2b5683b6197c465fb3bf&chksm=8cb894febbcf1de8d40966fba126423e52c62a677ef658314bd9e71d4b9eb5ecf726c0121600&token=728330758&lang=zh_CN#rd,2021/01/16,"论文名称：Co-GAT: A Co-Interactive Graph Attention Network for Dialog Act Recognition and Sentiment Classification
论文作者：覃立波、黎州扬、车万翔、倪旻恒、刘挺
原创作者：黎州扬
论文链接：https://arxiv.org/pdf/2010.00190.pdf
代码链接：https://github.com/RaleLee/Co-GAT
转载须标注出处：哈工大SCIR",论文推荐
第二十届中国计算语言学大会（CCL 2021） 征稿启事,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800326&idx=1&sn=8c804a914a7bbf758a7e1de5d59500cf&chksm=8cb8952dbbcf1c3b551b52aca6abfc612b2e834dfff81db87f8fc40a0fb34716eda56b454ad9&token=728330758&lang=zh_CN#rd,2021/01/11,第二十届中国计算语言学大会开始征稿，哈工大自然语言处理研究所名誉所长李生教授担任大会共同主席，我中心副主任车万翔教授担任大会程序委员会共同主席，我中心博士生覃立波担任学生研讨会共同主席。,学术交流
赛尔原创@AAAI 2021 | 数据增强没效果？试试用Cluster-to-Cluster生成更多样化的新数据吧,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800309&idx=1&sn=90dd2ccdcaa28f5fa1557bcd5f34e07c&chksm=8cb8955ebbcf1c48de9954c6a63567ff1b961b725b2ab8e466d522eba148570f321c684fe2af&token=728330758&lang=zh_CN#rd,2021/01/08,"论文名称：C2C-GenDA: Cluster-to-Cluster Generation for Data Augmentation of Slot Filling
论文作者：侯宇泰、陈三元、车万翔、陈成、刘挺
原创作者：侯宇泰
论文链接：https://arxiv.org/abs/2012.07004
转载须标注出处：哈工大SCIR",论文推荐
哈工大SCIR多位师生受邀参加第一届中国自然语言处理学生研讨会（CSSNLP 2020）,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800283&idx=1&sn=11896275663c84de76dfae3567a86373&chksm=8cb89570bbcf1c66dab04e83f0da99d3b585fb81ed66deaffcff1450d9df3a10828e9da55fa6&token=728330758&lang=zh_CN#rd,2021/01/04,第一届中国自然语言处理学生研讨会顺利召开，我中心车万翔教授进行了题为“基于小样本学习的自然语言处理”的报告；我中心覃立波同学进行了题为“初探迁移学习在任务型对话系统中的应用”报告,学术交流
赛尔原创@AAAI2021 | 小样本学习下的多标签分类问题初探,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800153&idx=1&sn=daf30d19c5467f2140295023d3ef7189&chksm=8cb895f2bbcf1ce46a8d90498a3c93694b79bc4c9b37ed29db0f2d907f615deb8b50fed918ac&token=728330758&lang=zh_CN#rd,2020/12/31,"论文名称：Few-shot Learning for Multi-label Intent Detection
论文作者：侯宇泰、赖勇魁、吴禹杉、车万翔、刘挺
原创作者：侯宇泰
论文链接：https://arxiv.org/abs/2010.05256
代码链接：https://github.com/AtmaHou/FewShotMultiLabe
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创@Findings | 基于动态图交互网络的多意图口语语言理解框架,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650800082&idx=1&sn=671e5581573dc6791e9282539a59a7a5&chksm=8f476a39b830e32f2b1fe50814b1e4f076542c41ee0f979aded85ee5febc3173b61f07773d83&token=728330758&lang=zh_CN#rd,2020/12/09,"论文名称：AGIF: An AdaptiveGraph-Interactive Framework for Joint Multiple Intent Detection and SlotFilling
论文作者：覃立波，徐啸，车万翔，刘挺
原创作者：覃立波
论文链接：https://www.aclweb.org/anthology/2020.findings-emnlp.163.pdf
代码链接：https://github.com/LooperXX/AGIF
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创@Findings | 中文预训练语言模型回顾,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650799931&idx=1&sn=fe03ecfe3c7c9ab280110dbca0c3b1b3&chksm=8f476ad0b830e3c6a85ca2131de95eddf10e88de512af5fd07afd3ce6984965f509ae32cca7e&token=728330758&lang=zh_CN#rd,2020/11/17,"论文名称：Revisiting Pre-trained Models for Chinese Natural Language Processing
论文作者：崔一鸣，车万翔，刘挺，秦兵，王士进，胡国平
原创作者：崔一鸣
论文链接：https://www.aclweb.org/anthology/2020.findings-emnlp.58
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创@EMNLP 2020 | 且回忆且学习：在更少的遗忘下精调深层预训练语言模型,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650799813&idx=1&sn=327e7b5541eac775a3e78e635d8252dc&chksm=8f476b2eb830e23881bc484bafcb867a93ae50f638c07469bce5fba72d65f4d768e4b1b22b52&token=728330758&lang=zh_CN#rd,2020/10/30,"论文名称：Recall and Learn: Fine-tuning Deep Pretrained Language Models with Less Forgetting
论文作者：陈三元，侯宇泰，崔一鸣，车万翔，刘挺，余翔湛
原创作者：陈三元
论文链接：https://arxiv.org/abs/2004.12651
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创｜EMNLP 2020 融合自训练和自监督方法的无监督文本顺滑研究,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650799668&idx=1&sn=1f1f4474d1c1da6c85ca7a8d6faebdc6&chksm=8f476bdfb830e2c995a39ee071011862425811bfad6d6ebdbac6914fa5977ba3f52b997027d4&token=728330758&lang=zh_CN#rd,2020/10/15,"论文名称：Combining Self-Training and Self-Supervised Learningfor Unsupervised Disfluency Detection
论文作者：王少磊，王重元，车万翔，刘挺
原创作者：王少磊
论文链接：http://ir.hit.edu.cn/~slwang/emnlp2020.pdf
转载须标注出处：哈工大SCIR",论文推荐
赛尔原创 | ACL20 让模型“事半功倍”，探究少样本序列标注方法,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650799160&idx=1&sn=9ca0faa748852b33e4985baeecacbc58&chksm=8f4769d3b830e0c5626033eae77888a0a2dcd0c37ba53cd7e1bc4868cad3820d0c770dd0c756&token=728330758&lang=zh_CN#rd,2020/08/03,"论文名称：Few-shot SlotTagging with Collapsed Dependency Transfer and Label-enhanced Task-adaptiveProjection Network

论文作者：侯宇泰，车万翔，赖勇魁，周之涵，刘一佳，刘晗，刘挺

原创作者：侯宇泰

论文链接：

https://arxiv.org/abs/1906.08711

代码链接：

https://github.com/AtmaHou/FewShotTagging",论文推荐
赛尔原创 | ACL20 用于多领域端到端任务型对话系统的动态融合网络,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650799085&idx=1&sn=fad43de3b79c2ada041348a6c43b8fbe&chksm=8f476e06b830e710691ad0a225e9352856ece3d5f9a50fb99e806ebf1db13da87474d63aef5a&token=728330758&lang=zh_CN#rd,2020/07/24,"论文名称：Document Modeling with Graph Attention Networks for Multi-grained Machine Reading Comprehension

论文作者：覃立波，徐啸，车万翔，张岳，刘挺

原创作者：覃立波，王馨月

论文链接：

https://www.aclweb.org/anthology/2020.acl-main.565.pdf

代码链接：

https://github.com/LooperXX/DF-Net",论文推荐
赛尔原创 | ACL20 基于图注意力网络的多粒度机器阅读理解文档建模,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650798875&idx=1&sn=41b76c0e11bf8573e43375158bef28a6&chksm=8f476ef0b830e7e6c33837cb189bd20cc2e90e9184a2ae22887e1c61741acffc7262fd4b19ec&token=728330758&lang=zh_CN#rd,2020/06/30,"论文名称：Document Modeling with Graph Attention Networks for Multi-grained Machine Reading Comprehension

论文作者：郑博，文灏洋，梁耀波，段楠，车万翔，姜大昕，周明，刘挺

原创作者：郑博

论文链接：

https://www.aclweb.org/anthology/2020.acl-main.599.pdf

代码链接：

https://github.com/DancingSoul/NQ_BERT-DM",论文推荐
赛尔原创 | ACL20 基于对话图谱的开放域多轮对话策略学习,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650798761&idx=1&sn=7350e76d0ceba659ef9d06c4f74adfbc&chksm=8f476f42b830e654ba0097031b4da60c66298583934e3315e5c6f05fb05687f771e46bf50fbf&token=728330758&lang=zh_CN#rd,2020/06/17,"论文名称：Conversational Graph Grounded Policy Learning for Open-Domain Conversation Generation
论文作者：徐俊，王海峰，牛正雨，吴华，车万翔，刘挺
原创作者：哈工大 SCIR 博士生 徐俊
转载须注明出处：哈工大SCIR",论文推荐
ACL 2010-2020研究趋势总结,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650798431&idx=1&sn=d10bf49e2e8e4e429cc2f97cc7fdc754&chksm=8f476cb4b830e5a23ecd6d546ea4675d3305b099fe14924e36274b832c3bff4625fe56a96cd5&token=728330758&lang=zh_CN#rd,2020/05/26,2020年5月23日，有幸受邀在中国中文信息学会青年工作委员会主办的AIS（ACL-IJCAI-SIGIR）2020顶会论文预讲会上介绍了ACL会议近年来的研究趋势，特整理成幻灯片配文字版，希望对相关领域的研究者有所帮助。由于视野所限，时间仓促，特别是ACL 2020的录用论文列表刚发布不久，因此统计的数据和得出的结论难免有失偏颇，如有不当之处，还敬请指出。另外，特别感谢组内的多位博士生帮助进行数据整理。,学术交流
赛尔原创 | AAAI20 基于Goal(话题)的开放域多轮对话规划,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650798336&idx=1&sn=42bbadff6022af1a3ac8f570ceed0c6e&chksm=8f476cebb830e5fde3e492290146b8768b806dcd4ebb66d52bfc1523a79eb5caed2bcc2d02bf&token=728330758&lang=zh_CN#rd,2020/05/19,"论文名称：Knowledge Graph Grounded Goal Planning for Open-Domain Conversation Generation
论文作者：徐俊，王海峰，牛正雨，吴华，车万翔
原创作者：哈工大 SCIR 博士生 徐俊
下载链接：AAAI2020通讯
转载须注明出处：哈工大SCIR",论文推荐
赛尔原创 | AAAI20 用于联合建模对话行为识别和情感分类的深度交互关系网络,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650797968&idx=1&sn=f586565345a4254433377583fd5f28f5&chksm=8f47627bb830eb6d62a1d81bcddd1d08f1cb8263ce41e5b6d2127edaafb6a398e93385d82da7&token=728330758&lang=zh_CN#rd,2020/05/06,"论文名称：DCR-Net: A Deep Co-Interactive Relation Network for Joint Dialog Act Recognition and Sentiment Classification
论文作者：覃立波，车万翔，李杨名，倪旻恒，刘挺
原创作者：覃立波
下载链接：http://ir.hit.edu.cn/~car/papers/AAAI2020-Qin-dcrnet.pdf
转载须注明出处：哈工大SCIR",论文推荐
哈工大SCIR三篇长文被IJCAI-PRICAI 2020录用,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650797486&idx=1&sn=8afe7aede62e37e558ca14fe3a901920&chksm=8f476045b830e95355178b15526914ef26855acf4dc715c5b2ecadf8f08e8e7e407579a8c207&token=728330758&lang=zh_CN#rd,2020/04/21,"IJCAI-PRICAI 2020, the 29th International Joint Conference on Artificial Intelligence and the 17th Pacific Rim International Conference on Artificial Intelligence将于2020年7月11日至17日在日本横滨举行。IJCAI是人工智能领域的顶级国际会议，是CCF A类会议，起于1969年每两年举办一次，自2016年起每年举办一次。IJCAI-PRICAI 2020收到有效投稿4717篇，最终录用592篇，录用率12.6%。
哈尔滨工业大学社会计算与信息检索研究中心共有3篇长文被IJCAI-PRICAI 2020录用。",论文发表
哈工大SCIR八篇长文被ACL 2020录用,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650797286&idx=1&sn=08062865d2876615393789335fc91fbc&chksm=8f47610db830e81b0bf9e7b5172d99ccffcac23ec445a9c26c748000462dfa4e8e967b247c2d&token=728330758&lang=zh_CN#rd,2020/04/05,"ACL 2020, The 58th Annual Meeting of the Association for Computational Linguistics 原定于2020年7月5日至10日在美国华盛顿西雅图举行，由于全球新冠肺炎疫情暴发，将改为在线举办。ACL年会是计算语言学和自然语言处理领域最重要的顶级国际会议，CCF A类会议，由计算语言学协会主办，每年举办一次。其接收的论文覆盖了对话交互系统、语义分析、摘要生成、信息抽取、问答系统、文本挖掘、机器翻译、语篇语用学、情感分析和意见挖掘、社会计算等自然语言处理领域众多研究方向。
哈尔滨工业大学社会计算与信息检索研究中心有八篇长文被ACL 2020录用。",论文发表
从静态到动态，词表征近几十年发展回顾,https://mp.weixin.qq.com/s?__biz=MzIxMjAzNDY5Mg==&mid=2650797247&idx=1&sn=ed50ad5e6a094c3160cdd77711a875db&chksm=8f476154b830e842538a7bc2fbce9ba43f0d8e85ccb12ead5e1d6d58537afc8982df12f94882&token=728330758&lang=zh_CN#rd,2020/04/02,近日，哈工大SCIR王宇轩、侯宇泰、车万翔和刘挺等人在《机器学习和神经机械学国际期刊》上发表了一篇关于词嵌入的综述论文，用一个全新的视角 —— 词嵌入从静态到动态的发展 —— 对词表示模型做了全面回顾。,论文推荐
哈工大开源“活字”对话大模型,https://mp.weixin.qq.com/s/WEitgZjOxZpp7KIbRU0ewg,2023/08/06,大规模语言模型（LLM）在自然语言处理的通用领域已取得了令人瞩目的成功。对于广泛的应用场景，这种技术展示了强大的潜力，学术界和工业界的兴趣也持续升温。哈工大自然语言处理研究所30余位老师和学生参与开发了通用对话大模型活字1.0，哈工大社会计算与信息检索研究中心(哈工大-SCIR)研发了活字2.0，致力于为自然语言处理的研究和实际应用提供更多可能性和选择。,工程项目
赛尔原创@EMNLP 2023 | 通过跨语言提示改进零样本 CoT 推理能力,https://mp.weixin.qq.com/s/L_tGzDRazskoLPN6kRPgwQ,2023/11/01,论文名称：Cross-lingual Prompting: Improving Zero-shot Chain-of-Thought Reasoning across Languages 论文作者：覃立波，陈麒光，车万翔等 原创作者：陈麒光 论文链接：https://arxiv.org/abs/2310.14799 转载须标注出处：哈工大SCIR,论文推荐
赛尔笔记 | 面向表格数据的大模型推理综述,https://mp.weixin.qq.com/s/sXeyH2Ob8-CbGwHHBYOYfQ,2023/12/26,原创作者：张玄靓，王丁子睿 转载须标注出处：哈工大SCIR,论文推荐
HIT-SCIR发布首个中文扩词表增量预训练混合专家模型Chinese-Mixtral-8x7B,https://mp.weixin.qq.com/s/hpoLYcJzPL_ujyIa67ZPtA,2024/01/18,近期，Mistral AI发布了首个开源MoE大模型：Mixtral-8x7B，其比肩LLaMA2-70B和GPT-3.5的强大性能引起了社区的广泛关注。由于Mixtral-8x7B词表不支持中文，因此对中文的编解码效率较低，限制了中文场景下的实用性。哈工大社会计算与信息检索研究中心（HIT-SCIR）基于Mixtral-8x7B进行了中文扩词表增量预训练，希望进一步促进中文自然语言处理社区对MoE模型的研究。我们扩充后的词表显著提高了模型对中文的编解码效率，并通过大规模开源语料对扩词表模型进行增量预训练，使模型具备了强大的中文生成和理解能力。,工程项目
赛尔原创@AAAI 2024 |语义引导的生成式图像增广方法,https://mp.weixin.qq.com/s/8ibE0WGDLJZBhHqi3d9lnQ,2024/01/31,论文：语义引导的生成式图像增广方法 作者：李博涵，徐啸，王兴昊，侯宇泰，冯云龙，王峰，张玄靓，朱庆福， 车万翔 链接：https://arxiv.org/abs/2302.02070 转载须标注出处：哈工大SCIR,论文推荐
哈工大开源“活字”对话大模型3.0版本,https://mp.weixin.qq.com/s/SGppkCePJtKd2-4PstnEtg,2024/02/15,大规模语言模型（LLM）在自然语言处理领域取得了显著的进展，并在广泛的应用场景中展现了其强大的潜力。这一技术不仅吸引了学术界的广泛关注，也成为了工业界的热点。在此背景下，哈尔滨工业大学社会计算与信息检索研究中心（HIT-SCIR）近期推出了最新成果——活字3.0，致力于为自然语言处理的研究和实际应用提供更多可能性和选择。,工程项目
今日arXiv最热NLP大模型论文：做到头了！清华和哈工大把大模型量化做到了1比特,https://mp.weixin.qq.com/s/IKCjzaqBVhUTtGCXb0_9Mg,2024/02/27,最近，清华和哈工大提出了一个名为OneBit的1位量化感知训练框架把大模型量化做到了1比特，同时保证了时间和空间效率以及模型性能之间的平衡，至少能达到非量化性能的83%，而且训练过程还特别稳定。,论文推荐
赛尔原创@COLING2024 | LM-Combiner：通过模型改写实现更精准的语法纠错,https://mp.weixin.qq.com/s/PQOQzIpbIngaFEse7rD3lQ,2024/03/10,论文名称：LM-Combiner: A Contextual Rewriting Model for Chinese Grammatical Error Correction 论文作者：王一轩，王宝鑫，刘议骏，伍大勇，车万翔* 原创作者：王一轩 转载须标注出处：哈工大SCIR,论文推荐
赛尔原创@COLING2024 | 面向编程的自然语言处理综述,https://mp.weixin.qq.com/s/FEATSHP-vtJqAJMYuSOvgQ,2024/03/18,论文名称：A Survey on Natural Language Processing for Programming 论文作者：朱庆福，罗先镇，刘芳，高翠芸，车万翔 原创作者：罗先镇，朱庆福 论文链接：https://arxiv.org/pdf/2212.05773.pdf 转载须标注出处：哈工大SCIR,论文推荐
赛尔原创@COLING2024 | 人工智能助手API调用能力的动态评估方法,https://mp.weixin.qq.com/s/qxrx2LcETqjBApSYDMroVQ,2024/03/22,论文名称：Beyond Static Evaluation: A Dynamic Approach to Assessing AI Assistants’ API Invocation Capabilities 论文作者：牟虹霖，徐阳，冯云龙，韩骁枫，李一同，侯宇泰，车万翔* 原创作者：牟虹霖 论文链接：https://arxiv.org/abs/2403.11128,论文推荐
